day	habitat	location	ID	status	time	timeday
7/21/2023	urban 	university	UP1	0	120	morning
7/21/2023	urban 	university	UP1	0	120	morning
7/21/2023	urban 	university	UP1	0	120	morning
7/21/2023	urban 	university	UP1	0	120	morning
7/21/2023	urban 	university	UP1	0	120	morning
7/21/2023	urban 	university	UP1	0	120	morning
7/21/2023	urban 	university	UP1	0	120	morning
7/21/2023	urban 	university	UP1	0	120	morning
7/21/2023	urban 	university	UP1	0	120	morning
7/21/2023	urban 	university	UP1	0	120	morning
7/21/2023	urban 	university 	UP2	0	120	morning
7/21/2023	urban 	university 	UP2	0	120	morning
7/21/2023	urban 	university 	UP2	0	120	morning
7/21/2023	urban 	university 	UP2	0	120	morning
7/21/2023	urban 	university 	UP2	0	120	morning
7/21/2023	urban 	university 	UP2	0	120	morning
7/21/2023	urban 	university 	UP2	0	120	morning
7/21/2023	urban 	university 	UP2	0	120	morning
7/21/2023	urban 	university 	UP2	0	120	morning
7/21/2023	urban 	university 	UP2	0	120	morning
7/21/2023	urban 	university 	UP3	1	10	morning
7/21/2023	urban 	university 	UP3	1	10	morning
7/21/2023	urban 	university 	UP3	0	120	morning
7/21/2023	urban 	university 	UP3	0	120	morning
7/21/2023	urban 	university 	UP3	0	120	morning
7/21/2023	urban 	university 	UP3	0	120	morning
7/21/2023	urban 	university 	UP3	0	120	morning
7/21/2023	urban 	university 	UP3	0	120	morning
7/21/2023	urban 	university 	UP3	0	120	morning
7/21/2023	urban 	university 	UP3	0	120	morning
7/21/2023	urban 	university 	UP4	0	120	morning
7/21/2023	urban 	university 	UP4	0	120	morning
7/21/2023	urban 	university 	UP4	0	120	morning
7/21/2023	urban 	university 	UP4	0	120	morning
7/21/2023	urban 	university 	UP4	0	120	morning
7/21/2023	urban 	university 	UP4	0	120	morning
7/21/2023	urban 	university 	UP4	0	120	morning
7/21/2023	urban 	university 	UP4	0	120	morning
7/21/2023	urban 	university 	UP4	0	120	morning
7/21/2023	urban 	university 	UP4	0	120	morning
7/24/2023	forest	gamboa	gamboa1	0	120	morning
7/24/2023	forest	gamboa	gamboa1	0	120	morning
7/24/2023	forest	gamboa	gamboa1	0	120	morning
7/24/2023	forest	gamboa	gamboa1	0	120	morning
7/24/2023	forest	gamboa	gamboa1	0	120	morning
7/24/2023	forest	gamboa	gamboa1	0	120	morning
7/24/2023	forest	gamboa	gamboa1	0	120	morning
7/24/2023	forest	gamboa	gamboa1	0	120	morning
7/24/2023	forest	gamboa	gamboa1	0	120	morning
7/24/2023	forest	gamboa	gamboa1	0	120	morning
7/24/2023	forest	gamboa	gamboa2	1	35	morning
7/24/2023	forest	gamboa	gamboa2	1	65	morning
7/24/2023	forest	gamboa	gamboa2	1	75	morning
7/24/2023	forest	gamboa	gamboa2	1	80	morning
7/24/2023	forest	gamboa	gamboa2	1	80	morning
7/24/2023	forest	gamboa	gamboa2	1	80	morning
7/24/2023	forest	gamboa	gamboa2	1	90	morning
7/24/2023	forest	gamboa	gamboa2	1	95	morning
7/24/2023	forest	gamboa	gamboa2	0	120	morning
7/24/2023	forest	gamboa	gamboa2	0	120	morning
7/24/2023	forest	gamboa	gamboa3	1	80	morning
7/24/2023	forest	gamboa	gamboa3	1	80	morning
7/24/2023	forest	gamboa	gamboa3	1	120	morning
7/24/2023	forest	gamboa	gamboa3	0	120	morning
7/24/2023	forest	gamboa	gamboa3	0	120	morning
7/24/2023	forest	gamboa	gamboa3	0	120	morning
7/24/2023	forest	gamboa	gamboa3	0	120	morning
7/24/2023	forest	gamboa	gamboa3	0	120	morning
7/24/2023	forest	gamboa	gamboa3	0	120	morning
7/24/2023	forest	gamboa	gamboa3	0	120	morning
7/24/2023	forest	gamboa	gamboa4	1	15	morning
7/24/2023	forest	gamboa	gamboa4	0	120	morning
7/24/2023	forest	gamboa	gamboa4	0	120	morning
7/24/2023	forest	gamboa	gamboa4	0	120	morning
7/24/2023	forest	gamboa	gamboa4	0	120	morning
7/24/2023	forest	gamboa	gamboa4	0	120	morning
7/24/2023	forest	gamboa	gamboa4	0	120	morning
7/24/2023	forest	gamboa	gamboa4	0	120	morning
7/24/2023	forest	gamboa	gamboa4	0	120	morning
7/24/2023	forest	gamboa	gamboa4	0	120	morning
7/24/2023	forest	gamboa	gamboa5	0	120	morning
7/24/2023	forest	gamboa	gamboa5	0	120	morning
7/24/2023	forest	gamboa	gamboa5	0	120	morning
7/24/2023	forest	gamboa	gamboa5	0	120	morning
7/24/2023	forest	gamboa	gamboa5	0	120	morning
7/24/2023	forest	gamboa	gamboa5	0	120	morning
7/24/2023	forest	gamboa	gamboa5	0	120	morning
7/24/2023	forest	gamboa	gamboa5	0	120	morning
7/24/2023	forest	gamboa	gamboa5	0	120	morning
7/24/2023	forest	gamboa	gamboa6	1	15	morning
7/24/2023	forest	gamboa	gamboa6	0	120	morning
7/24/2023	forest	gamboa	gamboa6	0	120	morning
7/24/2023	forest	gamboa	gamboa6	0	120	morning
7/24/2023	forest	gamboa	gamboa6	0	120	morning
7/24/2023	forest	gamboa	gamboa6	0	120	morning
7/24/2023	forest	gamboa	gamboa6	0	120	morning
7/24/2023	forest	gamboa	gamboa6	0	120	morning
7/24/2023	forest	gamboa	gamboa6	0	120	morning
7/24/2023	forest	gamboa	gamboa6	0	120	morning
7/24/2023	forest	gamboa	gamboa7	1	10	morning
7/24/2023	forest	gamboa	gamboa7	1	15	morning
7/24/2023	forest	gamboa	gamboa7	1	20	morning
7/24/2023	forest	gamboa	gamboa7	1	20	morning
7/24/2023	forest	gamboa	gamboa7	1	25	morning
7/24/2023	forest	gamboa	gamboa7	1	25	morning
7/24/2023	forest	gamboa	gamboa7	1	30	morning
7/24/2023	forest	gamboa	gamboa7	1	35	morning
7/24/2023	forest	gamboa	gamboa7	1	35	morning
7/24/2023	forest	gamboa	gamboa7	1	35	morning
7/25/2023	forest	plantation	plantation1	0	120	morning
7/25/2023	forest	plantation	plantation1	0	120	morning
7/25/2023	forest	plantation	plantation1	0	120	morning
7/25/2023	forest	plantation	plantation1	0	120	morning
7/25/2023	forest	plantation	plantation1	0	120	morning
7/25/2023	forest	plantation	plantation1	0	120	morning
7/25/2023	forest	plantation	plantation1	0	120	morning
7/25/2023	forest	plantation	plantation1	0	120	morning
7/25/2023	forest	plantation	plantation1	0	120	morning
7/25/2023	forest	plantation	plantation1	0	120	morning
7/25/2023	forest	plantation	plantation2	0	120	morning
7/25/2023	forest	plantation	plantation2	0	120	morning
7/25/2023	forest	plantation	plantation2	0	120	morning
7/25/2023	forest	plantation	plantation2	0	120	morning
7/25/2023	forest	plantation	plantation2	0	120	morning
7/25/2023	forest	plantation	plantation2	0	120	morning
7/25/2023	forest	plantation	plantation2	0	120	morning
7/25/2023	forest	plantation	plantation2	0	120	morning
7/25/2023	forest	plantation	plantation2	0	120	morning
7/25/2023	forest	plantation	plantation2	0	120	morning
7/25/2023	forest	plantation	plantation3	1	45	midday
7/25/2023	forest	plantation	plantation3	1	45	midday
7/25/2023	forest	plantation	plantation3	0	120	midday
7/25/2023	forest	plantation	plantation3	0	120	midday
7/25/2023	forest	plantation	plantation3	0	120	midday
7/25/2023	forest	plantation	plantation3	0	120	midday
7/25/2023	forest	plantation	plantation3	0	120	midday
7/25/2023	forest	plantation	plantation3	0	120	midday
7/25/2023	forest	plantation	plantation3	0	120	midday
7/25/2023	forest	plantation	plantation3	0	120	midday
7/25/2023	forest	plantation	plantation4	1	30	midday
7/25/2023	forest	plantation	plantation4	1	40	midday
7/25/2023	forest	plantation	plantation4	1	75	midday
7/25/2023	forest	plantation	plantation4	1	85	midday
7/25/2023	forest	plantation	plantation4	1	85	midday
7/25/2023	forest	plantation	plantation4	1	85	midday
7/25/2023	forest	plantation	plantation4	1	85	midday
7/25/2023	forest	plantation	plantation4	1	85	midday
7/25/2023	forest	plantation	plantation4	1	85	midday
7/25/2023	forest	plantation	plantation4	1	85	midday
7/25/2023	forest	plantation	plantation5	0	120	morning
7/25/2023	forest	plantation	plantation5	0	120	morning
7/25/2023	forest	plantation	plantation5	0	120	morning
7/25/2023	forest	plantation	plantation5	0	120	morning
7/25/2023	forest	plantation	plantation5	0	120	morning
7/25/2023	forest	plantation	plantation5	0	120	morning
7/25/2023	forest	plantation	plantation5	0	120	morning
7/25/2023	forest	plantation	plantation5	0	120	morning
7/25/2023	forest	plantation	plantation5	0	120	morning
7/25/2023	forest	plantation	plantation5	0	120	morning
7/25/2023	forest	plantation	plantation6	1	15	midday
7/25/2023	forest	plantation	plantation6	1	60	midday
7/25/2023	forest	plantation	plantation6	0	120	midday
7/25/2023	forest	plantation	plantation6	0	120	midday
7/25/2023	forest	plantation	plantation6	0	120	midday
7/25/2023	forest	plantation	plantation6	0	120	midday
7/25/2023	forest	plantation	plantation6	0	120	midday
7/25/2023	forest	plantation	plantation6	0	120	midday
7/25/2023	forest	plantation	plantation6	0	120	midday
7/25/2023	forest	plantation	plantation6	0	120	midday
7/25/2023	forest	plantation	plantation7	0	120	midday
7/25/2023	forest	plantation	plantation7	0	120	midday
7/25/2023	forest	plantation	plantation7	0	120	midday
7/25/2023	forest	plantation	plantation7	0	120	midday
7/25/2023	forest	plantation	plantation7	0	120	midday
7/25/2023	forest	plantation	plantation7	0	120	midday
7/25/2023	forest	plantation	plantation7	0	120	midday
7/25/2023	forest	plantation	plantation7	0	120	midday
7/25/2023	forest	plantation	plantation7	0	120	midday
7/25/2023	forest	plantation	plantation7	0	120	midday
7/25/2023	forest	plantation	plantation8	1	105	midday
7/25/2023	forest	plantation	plantation8	0	120	midday
7/25/2023	forest	plantation	plantation8	0	120	midday
7/25/2023	forest	plantation	plantation8	0	120	midday
7/25/2023	forest	plantation	plantation8	0	120	midday
7/25/2023	forest	plantation	plantation8	0	120	midday
7/25/2023	forest	plantation	plantation8	0	120	midday
7/25/2023	forest	plantation	plantation8	0	120	midday
7/25/2023	forest	plantation	plantation8	0	120	midday
7/25/2023	forest	plantation	plantation8	0	120	midday
7/27/2023	forest	gamboa	gamboa1.1	0	120	morning
7/27/2023	forest	gamboa	gamboa1.1	0	120	morning
7/27/2023	forest	gamboa	gamboa1.1	0	120	morning
7/27/2023	forest	gamboa	gamboa1.1	0	120	morning
7/27/2023	forest	gamboa	gamboa1.1	0	120	morning
7/27/2023	forest	gamboa	gamboa1.1	0	120	morning
7/27/2023	forest	gamboa	gamboa1.1	0	120	morning
7/27/2023	forest	gamboa	gamboa1.1	0	120	morning
7/27/2023	forest	gamboa	gamboa1.1	0	120	morning
7/27/2023	forest	gamboa	gamboa1.1	0	120	morning
7/27/2023	forest	gamboa	gamboa1.2	1	5	midday
7/27/2023	forest	gamboa	gamboa1.2	1	5	midday
7/27/2023	forest	gamboa	gamboa1.2	1	55	midday
7/27/2023	forest	gamboa	gamboa1.2	1	90	midday
7/27/2023	forest	gamboa	gamboa1.2	0	120	midday
7/27/2023	forest	gamboa	gamboa1.2	0	120	midday
7/27/2023	forest	gamboa	gamboa1.2	0	120	midday
7/27/2023	forest	gamboa	gamboa1.2	0	120	midday
7/27/2023	forest	gamboa	gamboa1.2	0	120	midday
7/27/2023	forest	gamboa	gamboa1.2	0	120	midday
7/27/2023	forest	gamboa	gamboa1.3	0	120	morning
7/27/2023	forest	gamboa	gamboa1.3	0	120	morning
7/27/2023	forest	gamboa	gamboa1.3	0	120	morning
7/27/2023	forest	gamboa	gamboa1.3	0	120	morning
7/27/2023	forest	gamboa	gamboa1.3	0	120	morning
7/27/2023	forest	gamboa	gamboa1.3	0	120	morning
7/27/2023	forest	gamboa	gamboa1.3	0	120	morning
7/27/2023	forest	gamboa	gamboa1.3	0	120	morning
7/27/2023	forest	gamboa	gamboa1.3	0	120	morning
7/27/2023	forest	gamboa	gamboa1.3	0	120	morning
7/27/2023	forest	gamboa	gamboa1.4	0	120	midday
7/27/2023	forest	gamboa	gamboa1.4	0	120	midday
7/27/2023	forest	gamboa	gamboa1.4	0	120	midday
7/27/2023	forest	gamboa	gamboa1.4	0	120	midday
7/27/2023	forest	gamboa	gamboa1.4	0	120	midday
